ZIP_CODE,CITY,INCOME
79936,El Paso TX,42857
90011,Los Angeles CA,23851
60629,Chicago IL,40279
90650,Norwalk CA,46012
90201,Bell Gardens CA,30029
77084,Houston TX,53075
92335,Fontana CA,35008
78521,Brownsville TX,23426
77449,Katy TX,59198
78572,Mission TX,23799
90250,Hawthorne CA,33656
90280,South Gate CA,35744
11226,Brooklyn NY,29498
90805,Long Beach CA,32565
91331,Pacoima CA,39225
08701,Lakewood NJ,35647
90044,Los Angeles CA,22091
92336,Fontana CA,55340
00926,San Juan PR,26306
94565,Pittsburg CA,48523
10467,Bronx NY,29044
92683,Westminster CA,49686
75052,Grand Prairie TX,60254
91342,Sylmar CA,48744
92704,Santa Ana CA,49923
30044,Lawrenceville GA,60427
10025,New York NY,49733
92503,Riverside CA,44829
92804,Anaheim CA,41887
78577,Pharr TX,24216
75217,Dallas TX,31532
92376,Rialto CA,37568
93307,Bakersfield CA,26462
10456,Bronx NY,16664
10002,New York NY,24022
91911,Chula Vista CA,38010
91744,La Puente CA,46792
75070,Mckinney TX,84847
77036,Houston TX,26931
93722,Fresno CA,43256
92345,Hesperia CA,41423
60618,Chicago IL,41355
93033,Oxnard CA,46342
93550,Palmdale CA,37484
95076,Watsonville CA,45354
11230,Brooklyn NY,32327
11368,Corona NY,34746
37013,Antioch TN,46063
11373,Elmhurst NY,38151
79912,El Paso TX,48627
37211,Nashville TN,37141
30043,Lawrenceville GA,71424
11206,Brooklyn NY,18661
10453,Bronx NY,21109
92154,San Diego CA,42970
11355,Flushing NY,36973
95823,Sacramento CA,36001
77479,Sugar Land TX,96118
91706,Baldwin Park CA,41621
10458,Bronx NY,22072
92553,Moreno Valley CA,38554
90706,Bellflower CA,39362
23464,Virginia Beach VA,53486
11212,Brooklyn NY,20839
60617,Chicago IL,35534
91709,Chino Hills CA,78336
11214,Brooklyn NY,33765
11219,Brooklyn NY,26648
91910,Chula Vista CA,42970
22193,Woodbridge VA,67190
77429,Cypress TX,78527
93535,Lancaster CA,39747
66062,Olathe KS,68682
93257,Porterville CA,30995
30349,Atlanta GA,39141
60647,Chicago IL,35283
77584,Pearland TX,70113
10452,Bronx NY,20606
77573,League City TX,68458
11377,Woodside NY,37360
11207,Brooklyn NY,24163
77494,Katy TX,86488
75211,Dallas TX,32702
11234,Brooklyn NY,51446
28269,Charlotte NC,61899
11235,Brooklyn NY,31013
94544,Hayward CA,49452
10029,New York NY,22232
60625,Chicago IL,40083
89110,Las Vegas NV,43073
92509,Riverside CA,45995
77083,Houston TX,52931
91335,Reseda CA,40792
85364,Yuma AZ,31515
87121,Albuquerque NM,34359
10468,Bronx NY,26852
90255,Huntington Park CA,30375
93065,Simi Valley CA,72384
91710,Chino CA,55185
10462,Bronx NY,33735
